Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2008-04-16,5.92,6.17,5.83,6.07,26678700.0,0.0,1.0,5.92,6.17,5.83,6.07,26678700.0
2008-04-17,6.06,6.3,6.0,6.19,23814600.0,0.0,1.0,6.06,6.3,6.0,6.19,23814600.0
2008-04-18,6.38,6.39,5.98,6.11,34375600.0,0.0,1.0,6.38,6.39,5.98,6.11,34375600.0
2008-04-21,6.1,6.14,5.95,6.14,14601100.0,0.0,1.0,6.1,6.14,5.95,6.14,14601100.0
2008-04-22,6.14,6.14,5.93,5.96,14770500.0,0.0,1.0,6.14,6.14,5.93,5.96,14770500.0
2008-04-23,6.03,6.07,5.86,5.92,23275900.0,0.0,1.0,6.03,6.07,5.86,5.92,23275900.0
2008-04-24,5.94,6.13,5.83,6.03,20086700.0,0.0,1.0,5.94,6.13,5.83,6.03,20086700.0
2008-04-25,6.09,6.1,5.93,6.06,11075600.0,0.0,1.0,6.09,6.1,5.93,6.06,11075600.0
2008-04-28,6.06,6.11,6.0,6.0,8014900.0,0.0,1.0,6.06,6.11,6.0,6.0,8014900.0
2008-04-29,5.98,6.07,5.95,6.02,10695600.0,0.0,1.0,5.98,6.07,5.95,6.02,10695600.0
2008-04-30,6.04,6.07,5.93,5.96,14029700.0,0.0,1.0,6.04,6.07,5.93,5.96,14029700.0
2008-05-01,5.98,6.29,5.97,6.22,19591800.0,0.0,1.0,5.98,6.29,5.97,6.22,19591800.0
2008-05-02,6.28,6.34,6.09,6.16,16102500.0,0.0,1.0,6.28,6.34,6.09,6.16,16102500.0
2008-05-05,6.16,6.59,6.11,6.53,41539000.0,0.0,1.0,6.16,6.59,6.11,6.53,41539000.0
2008-05-06,6.45,7.41,6.44,7.12,75533800.0,0.0,1.0,6.45,7.41,6.44,7.12,75533800.0
2008-05-07,7.15,7.27,6.86,6.91,26791200.0,0.0,1.0,7.15,7.27,6.86,6.91,26791200.0
2008-05-08,6.99,7.24,6.67,6.93,30371400.0,0.0,1.0,6.99,7.24,6.67,6.93,30371400.0
2008-05-09,6.9,7.06,6.73,6.94,15496100.0,0.0,1.0,6.9,7.06,6.73,6.94,15496100.0
2008-05-12,6.97,7.3,6.97,7.16,24085800.0,0.0,1.0,6.97,7.3,6.97,7.16,24085800.0
2008-05-13,7.19,7.32,7.11,7.19,15153600.0,0.0,1.0,7.19,7.32,7.11,7.19,15153600.0
2008-05-14,7.26,7.42,7.1,7.16,24836900.0,0.0,1.0,7.26,7.42,7.1,7.16,24836900.0
2008-05-15,7.19,7.42,7.16,7.41,16955600.0,0.0,1.0,7.19,7.42,7.16,7.41,16955600.0
2008-05-16,7.48,7.48,7.17,7.26,18008000.0,0.0,1.0,7.48,7.48,7.17,7.26,18008000.0
2008-05-19,7.31,7.48,7.06,7.1,23527700.0,0.0,1.0,7.31,7.48,7.06,7.1,23527700.0
2008-05-20,7.07,7.23,7.0,7.12,18484100.0,0.0,1.0,7.07,7.23,7.0,7.12,18484100.0
2008-05-21,7.16,7.26,7.05,7.08,13446400.0,0.0,1.0,7.16,7.26,7.05,7.08,13446400.0
2008-05-22,7.16,7.19,7.01,7.07,11537300.0,0.0,1.0,7.16,7.19,7.01,7.07,11537300.0
2008-05-23,7.02,7.06,6.76,6.88,13377900.0,0.0,1.0,7.02,7.06,6.76,6.88,13377900.0
2008-05-27,6.91,7.0,6.79,6.92,13114700.0,0.0,1.0,6.91,7.0,6.79,6.92,13114700.0
2008-05-28,7.01,7.07,6.74,6.82,18159000.0,0.0,1.0,7.01,7.07,6.74,6.82,18159000.0
2008-05-29,6.82,6.9,6.75,6.77,12623100.0,0.0,1.0,6.82,6.9,6.75,6.77,12623100.0
2008-05-30,6.86,6.95,6.71,6.88,20871900.0,0.0,1.0,6.86,6.95,6.71,6.88,20871900.0
2008-06-02,6.88,6.88,6.74,6.8,10823700.0,0.0,1.0,6.88,6.88,6.74,6.8,10823700.0
2008-06-03,6.84,6.87,6.72,6.81,15573200.0,0.0,1.0,6.84,6.87,6.72,6.81,15573200.0
2008-06-04,6.85,7.3,6.81,7.19,33424100.0,0.0,1.0,6.85,7.3,6.81,7.19,33424100.0
2008-06-05,7.32,7.79,7.29,7.78,40481900.0,0.0,1.0,7.32,7.79,7.29,7.78,40481900.0
2008-06-06,7.69,7.7,7.42,7.43,29842400.0,0.0,1.0,7.69,7.7,7.42,7.43,29842400.0
2008-06-09,7.57,7.98,7.44,7.68,26738500.0,0.0,1.0,7.57,7.98,7.44,7.68,26738500.0
2008-06-10,7.58,7.65,7.38,7.43,23476600.0,0.0,1.0,7.58,7.65,7.38,7.43,23476600.0
2008-06-11,7.43,7.43,6.92,6.96,26590500.0,0.0,1.0,7.43,7.43,6.92,6.96,26590500.0
2008-06-12,7.09,7.36,7.09,7.14,22173500.0,0.0,1.0,7.09,7.36,7.09,7.14,22173500.0
2008-06-13,7.23,7.55,7.23,7.52,19410900.0,0.0,1.0,7.23,7.55,7.23,7.52,19410900.0
2008-06-16,7.47,7.77,7.41,7.71,18112000.0,0.0,1.0,7.47,7.77,7.41,7.71,18112000.0
2008-06-17,7.85,7.94,7.58,7.72,24980400.0,0.0,1.0,7.85,7.94,7.58,7.72,24980400.0
2008-06-18,7.66,7.7,7.27,7.29,22951700.0,0.0,1.0,7.66,7.7,7.27,7.29,22951700.0
2008-06-19,7.33,7.4,7.02,7.33,20543400.0,0.0,1.0,7.33,7.4,7.02,7.33,20543400.0
2008-06-20,7.01,7.25,6.96,6.99,22395100.0,0.0,1.0,7.01,7.25,6.96,6.99,22395100.0
2008-06-23,7.13,7.17,6.51,6.55,29666900.0,0.0,1.0,7.13,7.17,6.51,6.55,29666900.0
2008-06-24,6.49,6.49,6.22,6.24,37493200.0,0.0,1.0,6.49,6.49,6.22,6.24,37493200.0
2008-06-25,6.36,6.58,6.33,6.43,26964400.0,0.0,1.0,6.36,6.58,6.33,6.43,26964400.0
2008-06-26,6.33,6.33,6.0,6.13,29126600.0,0.0,1.0,6.33,6.33,6.0,6.13,29126600.0
2008-06-27,6.15,6.22,5.85,5.95,23612700.0,0.0,1.0,6.15,6.22,5.85,5.95,23612700.0
2008-06-30,6.01,6.04,5.67,5.83,27347200.0,0.0,1.0,6.01,6.04,5.67,5.83,27347200.0
2008-07-01,5.71,5.82,5.4,5.65,32866100.0,0.0,1.0,5.71,5.82,5.4,5.65,32866100.0
2008-07-02,5.77,5.84,5.42,5.44,24019300.0,0.0,1.0,5.77,5.84,5.42,5.44,24019300.0
2008-07-03,5.48,5.55,5.01,5.3,24320100.0,0.0,1.0,5.48,5.55,5.01,5.3,24320100.0
2008-07-07,5.47,5.67,5.22,5.38,25813600.0,0.0,1.0,5.47,5.67,5.22,5.38,25813600.0
2008-07-08,5.38,5.54,5.29,5.53,29246700.0,0.0,1.0,5.38,5.54,5.29,5.53,29246700.0
2008-07-09,5.55,5.59,5.01,5.06,35716600.0,0.0,1.0,5.55,5.59,5.01,5.06,35716600.0
2008-07-10,5.11,5.12,4.75,4.96,45743800.0,0.0,1.0,5.11,5.12,4.75,4.96,45743800.0
2008-07-11,4.75,4.93,4.6,4.84,29950700.0,0.0,1.0,4.75,4.93,4.6,4.84,29950700.0
2008-07-14,4.75,4.955,4.72,4.82,22365600.0,0.0,1.0,4.75,4.955,4.72,4.82,22365600.0
2008-07-15,4.68,4.88,4.53,4.72,26935200.0,0.0,1.0,4.68,4.88,4.53,4.72,26935200.0
2008-07-16,4.9,5.09,4.68,5.06,24060400.0,0.0,1.0,4.9,5.09,4.68,5.06,24060400.0
2008-07-17,5.25,5.32,4.82,5.3,36053000.0,0.0,1.0,5.25,5.32,4.82,5.3,36053000.0
2008-07-18,4.91,5.0,4.58,4.65,58910400.0,0.0,1.0,4.91,5.0,4.58,4.65,58910400.0
2008-07-21,4.73,4.75,4.56,4.59,23296600.0,0.0,1.0,4.73,4.75,4.56,4.59,23296600.0
2008-07-22,4.52,4.59,4.32,4.41,29393200.0,0.0,1.0,4.52,4.59,4.32,4.41,29393200.0
2008-07-23,4.45,4.69,4.44,4.67,22668800.0,0.0,1.0,4.45,4.69,4.44,4.67,22668800.0
2008-07-24,4.68,4.73,4.33,4.37,18573400.0,0.0,1.0,4.68,4.73,4.33,4.37,18573400.0
2008-07-25,4.42,4.44,4.27,4.36,14936100.0,0.0,1.0,4.42,4.44,4.27,4.36,14936100.0
2008-07-28,4.38,4.39,4.18,4.19,17167400.0,0.0,1.0,4.38,4.39,4.18,4.19,17167400.0
2008-07-29,4.2,4.25,4.11,4.21,18722200.0,0.0,1.0,4.2,4.25,4.11,4.21,18722200.0
2008-07-30,4.28,4.28,4.11,4.23,18972800.0,0.0,1.0,4.28,4.28,4.11,4.23,18972800.0
2008-07-31,4.18,4.37,4.13,4.21,14905700.0,0.0,1.0,4.18,4.37,4.13,4.21,14905700.0
2008-08-01,4.26,4.32,4.05,4.28,25928000.0,0.0,1.0,4.26,4.32,4.05,4.28,25928000.0
2008-08-04,4.31,4.52,4.29,4.48,15988400.0,0.0,1.0,4.31,4.52,4.29,4.48,15988400.0
2008-08-05,4.62,4.65,4.47,4.6,14193300.0,0.0,1.0,4.62,4.65,4.47,4.6,14193300.0
2008-08-06,4.62,4.8,4.48,4.8,14528300.0,0.0,1.0,4.62,4.8,4.48,4.8,14528300.0
2008-08-07,4.71,5.17,4.66,5.03,32592600.0,0.0,1.0,4.71,5.17,4.66,5.03,32592600.0
2008-08-08,5.19,5.26,5.05,5.13,22304100.0,0.0,1.0,5.19,5.26,5.05,5.13,22304100.0
2008-08-11,5.1,5.2,5.03,5.11,15651300.0,0.0,1.0,5.1,5.2,5.03,5.11,15651300.0
2008-08-12,5.2,5.35,5.12,5.21,30836400.0,0.0,1.0,5.2,5.35,5.12,5.21,30836400.0
2008-08-13,5.2,5.23,5.0,5.15,19108700.0,0.0,1.0,5.2,5.23,5.0,5.15,19108700.0
2008-08-14,5.15,5.3715,5.14,5.3,18960500.0,0.0,1.0,5.15,5.3715,5.14,5.3,18960500.0
2008-08-15,5.37,5.87,5.25,5.64,33367500.0,0.0,1.0,5.37,5.87,5.25,5.64,33367500.0
2008-08-18,5.7,5.91,5.58,5.91,36912300.0,0.0,1.0,5.7,5.91,5.58,5.91,36912300.0
2008-08-19,5.72,5.9,5.54,5.58,21242000.0,0.0,1.0,5.72,5.9,5.54,5.58,21242000.0
2008-08-20,5.7,5.85,5.52,5.7,20661800.0,0.0,1.0,5.7,5.85,5.52,5.7,20661800.0
2008-08-21,5.58,5.82,5.54,5.76,14840600.0,0.0,1.0,5.58,5.82,5.54,5.76,14840600.0
